density	temperature	literature_doi	mol_fraction_water
0.99027	318.15	10.1016/j.jtice.2012.01.007	1.0
1.06471	318.15	10.1016/j.jtice.2012.01.007	0.9
1.09655	318.15	10.1016/j.jtice.2012.01.007	825.0
1.12851	318.15	10.1016/j.jtice.2012.01.007	0.7
1.14418	318.15	10.1016/j.jtice.2012.01.007	0.6
1.15514	318.15	10.1016/j.jtice.2012.01.007	0.5
1.163	318.15	10.1016/j.jtice.2012.01.007	0.4
1.16881	318.15	10.1016/j.jtice.2012.01.007	0.7
1.17362	318.15	10.1016/j.jtice.2012.01.007	0.2
1.17725	318.15	10.1016/j.jtice.2012.01.007	0.1
1.18022	318.15	10.1016/j.jtice.2012.01.007	0.0
0.98808	323.15	10.1016/j.jtice.2012.01.007	1.0
1.06214	323.15	10.1016/j.jtice.2012.01.007	0.9
1.09386	323.15	10.1016/j.jtice.2012.01.007	825.0
1.12574	323.15	10.1016/j.jtice.2012.01.007	0.7
1.1414	323.15	10.1016/j.jtice.2012.01.007	0.6
1.15231	323.15	10.1016/j.jtice.2012.01.007	0.5
1.16022	323.15	10.1016/j.jtice.2012.01.007	0.4
1.16603	323.15	10.1016/j.jtice.2012.01.007	0.7
1.17084	323.15	10.1016/j.jtice.2012.01.007	0.2
1.17448	323.15	10.1016/j.jtice.2012.01.007	0.1
1.17746	323.15	10.1016/j.jtice.2012.01.007	0.0
0.98573	323.15	10.1016/j.jtice.2012.01.007	1.0
1.05949	328.15	10.1016/j.jtice.2012.01.007	0.9
1.09111	328.15	10.1016/j.jtice.2012.01.007	825.0
1.12294	328.15	10.1016/j.jtice.2012.01.007	0.7
1.13859	328.15	10.1016/j.jtice.2012.01.007	0.6
1.14956	328.15	10.1016/j.jtice.2012.01.007	0.5
1.15742	328.15	10.1016/j.jtice.2012.01.007	0.4
1.16325	328.15	10.1016/j.jtice.2012.01.007	0.7
1.16801	328.15	10.1016/j.jtice.2012.01.007	0.2
1.17169	328.15	10.1016/j.jtice.2012.01.007	0.1
1.17468	328.15	10.1016/j.jtice.2012.01.007	0.0
0.98323	333.15	10.1016/j.jtice.2012.01.007	1.0
1.0567	333.15	10.1016/j.jtice.2012.01.007	0.9
1.0882	333.15	10.1016/j.jtice.2012.01.007	825.0
1.1201	333.15	10.1016/j.jtice.2012.01.007	0.7
1.13576	333.15	10.1016/j.jtice.2012.01.007	0.6
1.14674	333.15	10.1016/j.jtice.2012.01.007	0.5
1.15462	333.15	10.1016/j.jtice.2012.01.007	0.4
1.16046	333.15	10.1016/j.jtice.2012.01.007	0.7
1.16523	333.15	10.1016/j.jtice.2012.01.007	0.2
1.1689	333.15	10.1016/j.jtice.2012.01.007	0.1
1.17193	333.15	10.1016/j.jtice.2012.01.007	0.0
1.20705	278.15	10.1016/j.jct.2018.07.031	0.0
1.2056	280.65	10.1016/j.jct.2018.07.031	0.0
1.2042	283.15	10.1016/j.jct.2018.07.031	0.0
1.2028	285.65	10.1016/j.jct.2018.07.031	0.0
1.2014	288.15	10.1016/j.jct.2018.07.031	0.0
1.2	290.65	10.1016/j.jct.2018.07.031	0.0
1.19855	293.15	10.1016/j.jct.2018.07.031	0.0
1.19715	295.65	10.1016/j.jct.2018.07.031	0.0
1.19575	298.15	10.1016/j.jct.2018.07.031	0.0
1.1943	300.65	10.1016/j.jct.2018.07.031	0.0
1.1929	303.15	10.1016/j.jct.2018.07.031	0.0
1.1915	305.65	10.1016/j.jct.2018.07.031	0.0
1.19015	308.15	10.1016/j.jct.2018.07.031	0.0
1.18875	310.65	10.1016/j.jct.2018.07.031	0.0
1.1874	313.15	10.1016/j.jct.2018.07.031	0.0
1.186	315.65	10.1016/j.jct.2018.07.031	0.0
1.18465	318.15	10.1016/j.jct.2018.07.031	0.0
1.18325	320.65	10.1016/j.jct.2018.07.031	0.0
1.1819	323.15	10.1016/j.jct.2018.07.031	0.0
1.1805	325.65	10.1016/j.jct.2018.07.031	0.0
1.1791	328.15	10.1016/j.jct.2018.07.031	0.0
1.1777	330.65	10.1016/j.jct.2018.07.031	0.0
1.17635	333.15	10.1016/j.jct.2018.07.031	0.0
1.17495	335.65	10.1016/j.jct.2018.07.031	0.0
1.17355	338.15	10.1016/j.jct.2018.07.031	0.0
1.1936	278.15	10.1016/j.jct.2018.07.031	0.3
1.1922	280.65	10.1016/j.jct.2018.07.031	0.3
1.1908	283.15	10.1016/j.jct.2018.07.031	0.3
1.1894	285.65	10.1016/j.jct.2018.07.031	0.3
1.188	288.15	10.1016/j.jct.2018.07.031	0.3
1.1866	290.65	10.1016/j.jct.2018.07.031	0.3
1.1852	293.15	10.1016/j.jct.2018.07.031	0.3
1.18385	295.65	10.1016/j.jct.2018.07.031	0.3
1.1825	298.15	10.1016/j.jct.2018.07.031	0.3
1.18115	300.65	10.1016/j.jct.2018.07.031	0.3
1.1798	303.15	10.1016/j.jct.2018.07.031	0.3
1.17845	305.65	10.1016/j.jct.2018.07.031	0.3
1.17705	308.15	10.1016/j.jct.2018.07.031	0.3
1.1757	310.65	10.1016/j.jct.2018.07.031	0.3
1.1743	313.15	10.1016/j.jct.2018.07.031	0.3
1.17295	315.65	10.1016/j.jct.2018.07.031	0.3
1.17155	318.15	10.1016/j.jct.2018.07.031	0.3
1.1702	320.65	10.1016/j.jct.2018.07.031	0.3
1.1688	323.15	10.1016/j.jct.2018.07.031	0.3
1.1674	325.65	10.1016/j.jct.2018.07.031	0.3
1.16605	328.15	10.1016/j.jct.2018.07.031	0.3
1.16465	330.65	10.1016/j.jct.2018.07.031	0.3
1.16325	333.15	10.1016/j.jct.2018.07.031	0.3
1.1619	335.65	10.1016/j.jct.2018.07.031	0.3
1.16055	338.15	10.1016/j.jct.2018.07.031	0.3
1.21	295.15	NO	0.0
1.203	295.15	NO	0.2
1.166	295.15	NO	0.4
1.15	295.15	NO	0.7
1.108	295.15	NO	0.9
1.049	295.15	NO	0.9
1.0	295.15	NO	1.0
1.15	308.21	10.1016/j.tca.2010.12.022	0.0
1.146	318.22	10.1016/j.tca.2010.12.022	0.0
1.14	328.16	10.1016/j.tca.2010.12.022	0.0
1.135	338.16	10.1016/j.tca.2010.12.022	0.0
1.13	348.17	10.1016/j.tca.2010.12.022	0.0
1.124	358.1	10.1016/j.tca.2010.12.022	0.0
1.119	368.19	10.1016/j.tca.2010.12.022	0.0
1.191	297.9	10.1016/j.molliq.2015.11.032	0.0
1.188	302.136	10.1016/j.molliq.2015.11.032	0.0
1.183	310.608	10.1016/j.molliq.2015.11.032	0.0
1.178	319.08	10.1016/j.molliq.2015.11.032	0.0
1.171	327.621	10.1016/j.molliq.2015.11.032	0.0
1.166	336.024	10.1016/j.molliq.2015.11.032	0.0
1.16	344.496	10.1016/j.molliq.2015.11.032	0.0
1.155	352.968	10.1016/j.molliq.2015.11.032	0.0
